Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Afryka;Algieria;Es Salam;15;Ciê¿kowodny;;Es Salam;Badawczy;lip.92;;;;","
Afryka;Algieria;Nur;1;Lekkowodny;;Nur;Badawczy;kwi.89;;;;","
Afryka;Egipt;Inshas;2;Lekkowodny;Zbiornikowy;ETRR-1;Badawczy;1958;1990;;;","
Afryka;Egipt;Inshas;22;Lekkowodny;Zbiornikowy;ETRR-2;Badawczy;lut.98;;;;","
Afryka;Kongo;University of Kinshasa;0,00005 MWt;;TRIGA;TRICO I;Badawczy;1959;1970;;;Reaktor wy³¹czony","
Afryka;Kongo;University of Kinshasa;1 MWt;;TRIGA;TRICO II;Badawczy;1972;;;;Wy³¹czenie reaktora odk³adane w czasie","
Afryka;Libia;Tajura Nuclear Research Center;10 MWt;;;REWDRC;Badawczy;1981;;;;","
Afryka;Maroko;Rabat;;;TRIGA;;Badawczy;;;;;W budowie","
Afryka;Po³udniowa Afryka;Koeberg-1;970;Lekkowodny;PWR;CP-1;Energetyczny;21.lip.84;;;;","
Afryka;Po³udniowa Afryka;Koeberg-2;970;Lekkowodny;PWR;CP-1;Energetyczny;09.lis.85;;;;","
Afryka;Po³udniowa Afryka;Pelindaba Nuclear Research Center, Pretoria;20 MWt;;Zbiornikowy;SAFARI-1;Badawczy;1965;;;;","
Afryka;Po³udniowa Afryka;Pelindaba Nuclear Research Center, Pretoria;;;;SAFARI-2;;;1970;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Po³udniowa;Argentyna;Atucha-1;367;Ciê¿kowodny;PHWR;Siemens-KWU;Energetyczny;19.mar.74;;;;","
Ameryka Po³udniowa;Argentyna;Atucha-2;745;Ciê¿kowodny;PHWR;Siemens-KWU;Energetyczny;27.cze.14;;;;","
Ameryka Po³udniowa;Argentyna;Atucha-3;800;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;;;2025;;W budowie","
